County,White Percent,Black Percent,Latino Percent,College Educated Percent,Population Density,Income 
Adams,95.7,1.9,6.5,20.4,195.5,27284
Allegheny,81.3,13.3,1.8,35.9,1675.6,31593
Armstrong,97.9,0.9,0.7,14.6,105.5,23661
Beaver,91.2,6.3,1.4,21.9,392.3,26258
Bedford,98,0.6,1.1,12.6,49.2,22259
Berks,89,6.5,18.1,22.3,480.4,26723
Blair,96.1,1.8,1.1,18.4,241.7,23875
Bradford,97.4,0.6,1.5,17.1,54.6,23667
Bucks,89.8,4,4.7,35.8,1034.7,37466
Butler,96.5,1.2,1.3,30.5,233.1,30957
Cambria,94,3.9,1.6,18.3,208.7,22659
Cameron,97.8,0.4,0.7,14.2,12.8,22747
Carbon,96.1,1.9,3.8,15.1,171.1,24861
Centre,89.5,3.4,2.7,40.4,138.7,25545
Chester,87.1,6.4,7,48.5,664.7,42210
Clarion,97.3,1,0.7,18.5,66.6,21902
Clearfield,95.6,2.8,2.7,13.5,71.3,21273
Clinton,96.5,1.8,1.3,17,44.2,21875
Columbia,95.7,2,2.5,20.7,139.3,23681
Crawford,96.2,1.9,1.2,18.7,87.7,21741
Cumberland,90.6,3.7,3.3,32.5,431.6,31791
Dauphin,74.5,18.6,7.9,28.5,510.6,29234
Delaware,71.7,20.9,3.4,35,3040.5,33179
Elk,98.4,0.4,0.8,14.9,38.6,23738
Erie,88.8,7.5,3.7,24.8,351.1,24189
Fayette,93.3,4.7,1,14,172.8,20884
Forest,79.6,18.9,5.8,7.8,18.1,13646
Franklin,93.1,3.7,4.8,19.3,193.7,25741
Fulton,97.3,1.2,1.1,11.8,33.9,23201
Greene,95,3.4,1.3,15.5,67.2,21819
Huntingdon,92.7,5.5,1.7,13.5,52.5,20739
Indiana,95.1,2.7,1.3,21.9,107.5,22933
Jefferson,98.2,0.5,0.7,13.2,69.3,21300
Juniata,97.7,0.7,2.9,11.8,63,21628
Lackawanna,93,3.1,5.9,25.7,467.1,25594
Lancaster,91,4.7,9.5,24.2,550.4,26496
Lawrence,93.7,4.1,1.2,19.6,254.4,22906
Lebanon,93.9,3.1,10.9,19.4,369.1,27074
Lehigh,85.1,8.2,20.7,28.1,1012.5,27923
Luzerne,92.3,4.6,8.5,21,360.4,24793
Lycoming,92.6,4.7,1.6,18.8,94.5,22987
McKean,95.5,2.7,2,15.1,44.4,22426
Mercer,91.8,5.8,1.3,20.5,173.4,22831
Mifflin,97.7,0.7,1.3,11.5,113.6,20794
Monroe,79.8,14.8,14.2,23.8,279.2,25494
Montgomery,81.5,9.3,4.7,45.5,1655.9,41472
Montour,94.6,1.7,2.1,26.8,140.3,29600
Northampton,88.7,6.1,11.7,26.6,805.4,29266
Northumberland,95.7,2.5,2.9,14,206.2,22478
Perry,97.4,0.8,1.6,15.5,83.4,26048
Philadelphia,45.5,44.2,13.3,23.9,11379.5,22279
Pike,90.4,6.2,9.8,22.5,105.3,27691
Potter,98.1,0.5,1.1,14.6,16.1,22564
Schuylkill,95,3.1,3.4,14.3,190.4,23021
Snyder,97.1,1.2,1.9,16.7,120.8,23088
Somerset,96.1,2.7,1.3,14.5,72.4,22192
Sullivan,95.5,2.9,1.7,14,14.3,22923
Susquehanna,98.1,0.5,1.7,16.5,52.7,24477
Tioga,97.3,0.9,1.3,19.1,37,22621
Union,88.8,8,5.7,21.2,142.2,22259
Venango,97,1.2,1.1,15.4,81.5,22060
Warren,98,0.5,0.9,17.9,47.3,24179
Washington,94.2,3.2,1.4,25.6,242.5,28433
Wayne,94.7,3.4,4,19.2,72.8,24005
Westmoreland,95.2,2.5,1,25.3,355.4,28051
Wyoming,97.4,0.9,1.8,17.4,71.2,24195
York,90,6.3,6.3,22,481.1,28132
